Area,Item,Unit,Element,Source,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
Afghanistan,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,26.6,28,29.12,29.4,28.7,28.7,30.8,22.96,16.66,15.3233,16.4555,17.8542,20.6577,19.7711,17.92
Algeria,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.067,0.0614,0.0569,0.0557,0.0504,0.0504,0.0504,0.0438,0.0482,0.0493,0.0471,0.0482,0.0482,0.0479,0.0481
Angola,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,4.6343,6.638,6.6934,7.2906,7.8126,8.2628,8.419,8.4221,4.499,3.0554,2.3568,2.3708,2.3909,2.4002,2.4002
Argentina,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,51.0888,54.264,60.3876,72.0846,65.9042,65.156,68.096,65.1252,58.1672,57.148,55.4876,51.3198,51.884,55.998,52.0996
Australia,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.7302,2.2661,5.9633,23.8716,32.4812,35.796,24.158,21.9442,8.3869,25.8942,19.2626,2.4003,1.5773,14.2015,19.7029
Azerbaijan,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.3744,0.4822,0.4592,0.4939,0.4718,0.5933,0.3044,0.3349,0.7028,1.4288,1.1295,1.1225,0.8403,0.8548,0.8762
Bangladesh,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,1121.1475,1128.5411,1145.9826,1145.8832,1135.4462,1130.3768,1134.7148,1131.2934,1093.4804,1154.531,1144.591,1144.6452,1134.9239,1163.0733,1162.2211
Belize,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.0949,0.1282,0.129,0.1247,0.0759,0.1099,0.0983,0.0836,0.095,0.1112,0.0761,0.0677,0.0863,0.074,0.0814
Benin,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.9322,1.1277,1.3176,1.5623,1.8404,3.0803,2.0884,1.8285,2.3058,2.2111,3.7852,2.8676,2.9284,3.549,3.7755
Bhutan,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,2.2275,2.7295,2.6255,2.7979,2.4335,2.4497,2.3429,2.2981,2.4719,2.4399,1.7356,1.4124,1.4596,1.1208,1.0568
Bolivia (Plurinational State of),Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,10.8781,13.0763,13.5966,12.4791,11.0251,11.641,12.2447,11.645,11.4733,12.0977,11.8844,13.1097,12.3561,12.5121,14.2252
Brazil,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,185.18,186.5675,176.8509,178.8278,156.7672,152.8608,152.0634,138.9103,126.2782,130.3229,121.6152,111.0857,108.9837,109.7298,105.4574
Brunei Darussalam,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.2431,0.2379,0.2778,0.2605,0.2778,0.2257,0.2257,0.2257,0.2431,0.2257,0.2084,0.191,0.2257,0.2605,0.2605
Bulgaria,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,2.1806,2.3274,3.3536,3.3015,2.7643,2.8599,3.092,3.4748,3.3566,2.9215,3.08,3.3096,3.458,3.374,2.9624
Burkina Faso,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,19.9624,22.987,33.3273,33.958,34.1065,34.6019,35.9498,35.5646,42.4034,41.1394,40.1085,44.1723,50.2721,55.0862,49.4595
Burundi,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,1.54,1.68,2.0698,2.3834,2.1498,1.5169,1.6611,2.3972,4.4626,3.4651,3.4869,4.1298,3.9871,3.5663,3.8109
Cambodia,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,407.8362,417.3932,433.2961,463.2627,469.3515,463.3362,472.6997,472.2315,483.7798,497.825,506.8764,509.3733,510.1536,545.8909,515.4596
Cameroon,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,5.0408,3.4308,9.7983,9.0507,8.952,11.6714,8.8831,15.8745,9.216,9.5246,8.6782,9.5762,9.5401,10.751,10.9718
Central African Republic,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,1.772,1.8251,0.7144,0.712,0.7226,0.5222,0.6411,0.509,0.5804,0.5803,0.6035,0.6276,3.7956,3.1987,2.5887
Chad,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,7.7598,8.7296,9.7118,8.4554,10.1892,15.2438,13.5602,12.0408,12.7683,13.372,13.0078,13.4629,13.2426,12.886,12.3976
Chile,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,4.6364,5.238,5.4254,5.5568,5.3068,4.6452,4.9544,5.2455,5.8706,4.6313,6.5303,5.8047,5.8384,5.0799,4.5815
China,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,5200.7033,5278.8835,5330.3014,5374.6076,5399.9588,5442.7146,5452.6058,5452.4326,5449.7583,5450.1202,5351.5872,5263.6067,5330.5952,5295.8324,5215.8015
"China, mainland",Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,5154.7862,5232.5481,5285.9185,5328.3332,5352.4999,5393.5446,5403.2745,5406.5939,5399.92,5400.129,5302.1731,5214.4547,5282.9504,5255.0604,5172.3035
"China, Taiwan Province of",Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,45.9171,46.3354,44.3829,46.2744,47.4589,49.17,49.3313,45.8387,49.8383,49.9912,49.4141,49.152,47.6448,40.772,43.498
Colombia,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,102.2644,109.4302,99.9319,105.1973,99.7668,110.1682,95.5814,105.009,126.5163,137.2493,122.248,122.4552,135.9232,137.7466,119.9481
Comoros,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.3671,0.2626,0.002,0.0036,0.002,0.0028,0.0094,0.0085,0.0075,0.0066,0.0066,0.0047,0.0047,0.0037,0.0047
Congo,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.147,0.161,0.1673,0.1386,0.1378,0.1382,0.1402,0.1426,0.1456,0.1442,0.1409,0.134,0.1282,0.1198,0.1203
Costa Rica,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,1.5135,1.7732,2.2391,2.2064,1.5827,1.8591,1.2862,1.3691,1.35,1.0732,1.083,0.9739,1.049,1.0981,0.7608
C̫te d'Ivoire,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,11.1926,11.5172,12.0514,11.5883,20.2628,24.0501,25.1078,25.7596,23.8231,24.1273,22.4276,20.4826,16.1314,17.7725,21.0039
Cuba,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,43.5439,60.4103,49.4001,58.2529,56.7582,55.3904,48.0402,31.4065,39.2045,31.4597,37.4406,32.7905,20.8869,18.625,14.8441
Democratic People's Republic of Korea,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,101.5511,101.3036,101.4817,101.6597,100.2354,97.3868,93.4699,82.8233,83.4424,84.5961,83.9432,82.937,83.7303,90.3498,87.3436
Democratic Republic of the Congo,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,9.978,9.9891,23.7331,22.304,20.2773,25.4389,31.9918,32.0527,33.0354,34.3012,33.9979,33.8604,31.416,33.8005,44.9456
Dominican Republic,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,44.2574,49.9441,48.9612,47.9481,44.1519,44.0056,44.7703,43.7457,45.0527,47.8523,52.8506,49.0428,50.2642,52.4635,54.2861
Ecuador,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,74.5166,82.9107,82.551,69.3,77.952,83.328,74.361,78.771,76.902,75.201,62.643,54.033,65.709,71.463,70.938
Egypt,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,208.6258,161.1308,128.667,166.0918,173.6798,167.1877,160.6371,143.0388,159.2326,153.9127,101.101,153.5929,139.8211,129.9838,180.9684
El Salvador,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.1242,0.163,0.1376,0.1308,0.124,0.1648,0.1988,0.1697,0.1116,0.1254,0.0996,0.0968,0.0898,0.0794,0.0942
Eswatini,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.0124,0.0125,0.0136,0.0148,0.0159,0.017,0.0182,0.0188,0.0192,0.0213,0.0229,0.0221,0.0216,0.0218,0.022
Ethiopia,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.127,6.6835,4.1812,4.2909,5.8535,4.7348,6.5565,6.3636,6.7785,7.435,8.8707,8.0606,8.7571,8.4,8.4
Fiji,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.7108,0.5676,0.3556,0.3885,0.2668,0.301,0.1748,0.2954,0.4036,0.4238,0.329,0.2682,0.3283,0.3579,0.4568
France,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,9.7584,12.0396,12.0093,11.6812,11.1787,10.336,8.4526,8.1482,8.4234,8.6421,6.6931,7.6104,7.2173,6.0631,5.927
Gabon,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.0363,0.0375,0.0386,0.0398,0.0434,0.0434,0.0419,0.0416,0.042,0.0426,0.0438,0.0437,0.043,0.0433,0.0435
Gambia,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,8.568,18.396,21.7098,10.5906,16.0252,16.7278,16.7041,21.4691,16.6068,16.5952,11.3937,16.38,15.3753,8.973,11.6974
Ghana,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,8.9242,10.9106,12.1785,13.2707,12.7363,14.5088,15.0528,15.6757,16.3872,17.2658,13.8432,18.9504,19.5552,23.9904,20.496
Greece,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,12.6662,14.1287,15.1462,15.5817,15.5157,14.1625,13.6557,14.6375,16.2037,15.5741,15.2964,15.0494,18.1894,17.5846,14.5051
Guatemala,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.2192,0.2779,0.2935,0.2975,0.3014,0.3072,0.3131,0.3131,0.317,0.2996,0.3066,0.2159,0.2522,0.2692,0.3486
Guinea,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,87.8756,96.3963,162.1344,171.4184,176.8532,181.6812,187.0101,188.6989,186.6482,199.7301,205.6902,195.4695,185.0116,182.514,180.05
Guinea-Bissau,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,5.7538,6.2514,7.0357,6.5393,7.9989,9.45,5.95,7.6509,8.3416,7.4243,7.9683,8.4945,8.3403,8.8658,9.1204
Guyana,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,31.8668,33.1968,34.9524,37.3464,38.1444,43.8368,49.3164,50.806,39.9532,46.0978,44.422,47.2948,49.343,41.4428,41.0172
Haiti,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,5.936,6.44,6.7986,6.7416,6.7228,6.5865,5.8871,5.2776,6.7596,6.8632,16.6421,6.6261,6.6676,6.6474,6.1466
Honduras,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.2672,0.2545,0.2062,0.2386,0.252,0.226,0.549,0.5206,0.5331,0.4277,0.4227,0.4469,0.5643,0.4895,0.4936
Hungary,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.7095,0.7594,0.56,0.784,0.8288,0.7392,0.672,0.7848,0.8142,0.7742,0.8204,0.742,0.8372,0.7616,0.6524
India,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,4806.9279,4424.8957,4524.5549,4645.6956,4513.1122,4658.9909,4656.2516,4591.7756,4643.9433,4620.7898,4661.1538,4608.9924,4831.3429,4885.1775,4897.984
Indonesia,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,2479.6276,2490.199,2494.2161,2463.7705,2450.6619,2459.1191,2425.7134,2407.9535,2241.1368,2304.5652,2405.6138,2257.6043,2253.2463,2201.3463,2209.9875
Iran (Islamic Republic of),Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,115.8172,117.7717,123.861,116.4936,125.286,124.1863,118.4922,116.4867,131.0085,87.2336,93.9366,126.385,108.6757,95.2418,87.92
Iraq,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,23.73,15.379,13.4327,18.4086,22.2519,26.8262,22.1057,6.8292,10.5647,15.1992,1.5183,35.7484,28.4463,26.9319,1.0749
Italy,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,112.9968,120.204,124.8408,124.236,118.4662,108.8736,110.628,114.5748,118.003,118.003,109.4638,110.8951,114.5693,114.4282,110.0837
Japan,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,338.2533,337.6296,341.5797,334.9269,335.9664,337.0059,334.5111,330.3531,326.403,323.7003,305.613,305.613,303.9498,291.8916,311.3302
Kazakhstan,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,16.5949,19.1006,20.6612,20.5151,20.448,19.6566,20.9419,21.7059,20.7313,22.969,22.3053,22.4131,22.4806,21.2402,19.3282
Kenya,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,1.1714,1.528,1.4127,1.9624,2.0741,2.1944,1.9873,2.0607,2.0536,2.1274,1.8176,1.7494,1.9793,1.7884,2.073
