Area,Item,Unit,Element,Source,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
Kazakhstan,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,572.544,550.3848,586.3732,607.7652,580.4764,643.132,624.5484,627.5668,629.4568,594.7256,541.1896
Kenya,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,2.0741,2.1944,1.9873,2.0607,2.0536,2.1274,1.8176,1.7494,1.9793,1.7884,2.073
Kenya,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,58.0748,61.4432,55.6444,57.6996,57.5008,59.5672,50.8928,48.9832,55.4204,50.0752,58.044
Kyrgyzstan,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,1.5738,1.7373,1.772,1.8927,2.1769,2.3527,2.4939,2.4846,2.6216,2.7264,2.5576
Kyrgyzstan,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,44.0664,48.6444,49.616,52.9956,60.9532,65.8756,69.8292,69.5688,73.4048,76.3392,71.6128
Lao People's Democratic Republic,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,91.7432,87.56,94.108,94.8268,95.63,93.9407,83.3336,83.5818,90.5576,84.3274,80.3886
Lao People's Democratic Republic,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,2568.8096,2451.68,2635.024,2655.1504,2677.64,2630.3396,2333.3408,2340.2904,2535.6128,2361.1672,2250.8808
Liberia,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,2.7174,2.5399,2.6691,3.0829,3.6728,2.747,2.7999,2.8812,2.8577,2.8577,3.0223
Liberia,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,76.0872,71.1172,74.7348,86.3212,102.8384,76.916,78.3972,80.6736,80.0156,80.0156,84.6244
Madagascar,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,220.6142,179.4389,216.462,200.0618,223.6533,220.7916,261.9008,283.2425,296.3266,283.136,282.8186
Madagascar,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,6177.1976,5024.2892,6060.936,5601.7304,6262.2924,6182.1648,7333.2224,7930.79,8297.1448,7927.808,7918.9208
Malawi,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,4.2092,4.5693,4.718,4.6033,3.7573,4.5417,4.478,4.9401,5.0934,5.32,5.3051
Malawi,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,117.8576,127.9404,132.104,128.8924,105.2044,127.1676,125.384,138.3228,142.6152,148.96,148.5428
Malaysia,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,122.4769,120.1749,109.9588,121.9426,123.2328,122.6563,125.2385,120.2474,115.3851,115.9269,114.2245
Malaysia,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,3429.3532,3364.8972,3078.8464,3414.3928,3450.5184,3434.3764,3506.678,3366.9272,3230.7828,3245.9532,3198.286
Mali,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,42.147,46.1315,47.8929,53.3498,58.425,53.7512,67.8663,64.7251,62.8642,61.1822,62.1681
Mali,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,1180.116,1291.682,1341.0012,1493.7944,1635.9,1505.0336,1900.2564,1812.3028,1760.1976,1713.1016,1740.7068
Mauritania,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,10.36,11.452,15.9891,12.3621,12.1772,16.52,17.36,20.44,19.04,21.56,19.88
Mauritania,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,290.08,320.656,447.6948,346.1388,340.9616,462.56,486.08,572.32,533.12,603.68,556.64
Mauritius,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.0547,0.0538,0.0729,0.0602,0.0285,0.0099,0.0023,0.0011,0,0,0
Mauritius,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,1.5316,1.5064,2.0412,1.6856,0.798,0.2772,0.0644,0.0308,0,0,0
Mexico,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,3.6501,3.8041,4.6657,4.6652,4.7541,4.7711,5.1833,4.4219,5.4591,4.6242,4.3273
Mexico,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,102.2028,106.5148,130.6396,130.6256,133.1148,133.5908,145.1324,123.8132,152.8548,129.4776,121.1644
Micronesia (Federated States of),Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.0211,0.0223,0.023,0.0225,0.0226,0.0226,0.0227,0.0229,0.0229,0.0229,0.023
Micronesia (Federated States of),Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,0.5908,0.6244,0.644,0.63,0.6328,0.6328,0.6356,0.6412,0.6412,0.6412,0.644
Morocco,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,2.562,1.4,1.2339,2.3267,2.1076,2.2436,2.2655,2.2324,1.6206,2.1154,1.7696
Morocco,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,71.736,39.2,34.5492,65.1476,59.0128,62.8208,63.434,62.5072,45.3768,59.2312,49.5488
Mozambique,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,25.438,28.259,26.355,21.77,22.89,22.75,24.5,18.9,21.91,22.3645,20.3
Mozambique,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,712.264,791.252,737.94,609.56,640.92,637,686,529.2,613.48,626.206,568.4
Myanmar,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,1093.7304,1088.1122,1075.0446,1059.4105,1052.2899,1055.6546,1118.8483,1083.1199,1068.8786,1102.2595,1079.7239
Myanmar,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,30624.4512,30467.1416,30101.2488,29663.494,29464.1172,29558.3288,31327.7524,30327.3572,29928.6008,30863.266,30232.2692
Nepal,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,148.7621,155.7135,149.2622,142.7237,162.5746,153.8908,156.2154,152.7776,154.3022,154.711,151.7183
Nepal,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,4165.3388,4359.978,4179.3416,3996.2636,4552.0888,4308.9424,4374.0312,4277.7728,4320.4616,4331.908,4248.1124
Nicaragua,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,3.105,2.0963,1.853,1.5266,1.8743,1.9012,1.9532,2.0695,2.0718,2.1704,2.2158
Nicaragua,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,86.94,58.6964,51.884,42.7448,52.4804,53.2336,54.6896,57.946,58.0104,60.7712,62.0424
Niger,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,1.6462,2.1141,2.5164,2.0498,2.3038,2.3327,2.9359,2.6204,2.4618,2.9627,3.1766
Niger,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,46.0936,59.1948,70.4592,57.3944,64.5064,65.3156,82.2052,73.3712,68.9304,82.9556,88.9448
Nigeria,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,313.5305,320.9297,337.4089,341.7486,448.9969,486.8554,445.092,451.7878,459.2795,472.9645,501.4184
Nigeria,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,8778.854,8986.0316,9447.4492,9568.9608,12571.9132,13631.9512,12462.576,12650.0584,12859.826,13243.006,14039.7152
North Macedonia,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,1.3037,1.3048,1.4487,1.3958,1.4112,0.9167,0.9022,0.9747,0.8896,0.8711,0.8719
North Macedonia,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,36.5036,36.5344,40.5636,39.0824,39.5136,25.6676,25.2616,27.2916,24.9088,24.3908,24.4132
Pakistan,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,323.232,390.4837,404.6904,383.5293,381.3618,406.0833,393.4042,424.7543,466.9819,495.2317,416.6735
Pakistan,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,9050.496,10933.5436,11331.3312,10738.8204,10678.1304,11370.3324,11015.3176,11893.1204,13075.4932,13866.4876,11666.858
Panama,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,1.2086,1.3027,1.0951,1.2933,1.2778,1.3048,1.3223,1.36,1.3982,1.3551,1.3307
Panama,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,33.8408,36.4756,30.6628,36.2124,35.7784,36.5344,37.0244,38.08,39.1496,37.9428,37.2596
Papua New Guinea,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.0957,0.0957,0.0958,0.0963,0.0969,0.0965,0.0962,0.0974,0.0973,0.0974,0.0975
Papua New Guinea,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,2.6796,2.6796,2.6824,2.6964,2.7132,2.702,2.6936,2.7272,2.7244,2.7272,2.73
Paraguay,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,11.2,13.72,16.8,17.92,18.2,19.6,19.88,22.68,25.2,24.92,23.8
Paraguay,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,313.6,384.16,470.4,501.76,509.6,548.8,556.64,635.04,705.6,697.76,666.4
Peru,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,91.9441,93.0571,89.6978,93.9626,97.4672,100.2547,103.003,97.4672,98.0572,99.9857,97.4399
Peru,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,2574.4348,2605.5988,2511.5384,2630.9528,2729.0816,2807.1316,2884.084,2729.0816,2745.6016,2799.5996,2728.3172
Philippines,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,1569.1303,1587.8761,1585.7284,1557.8106,1524.2925,1609.8625,1606.0479,1556.2256,1578.7775,1607.6107,1607.4167
Philippines,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,43935.6484,44460.5308,44400.3952,43618.6968,42680.19,45076.15,44969.3412,43574.3168,44205.77,45013.0996,45007.6676
Portugal,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,15.7117,15.2092,14.492,14.6876,14.6911,14.5878,14.7924,14.5303,13.0738,14.7974,13.739
Portugal,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,439.9276,425.8576,405.776,411.2528,411.3508,408.4584,414.1872,406.8484,366.0664,414.3272,384.692
Puerto Rico,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0,0,0.0052,0.0205,0.0086,0.0114,0.0135,0.0112,0.012,0.0122,0.0118
Puerto Rico,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,0,0,0.1456,0.574,0.2408,0.3192,0.378,0.3136,0.336,0.3416,0.3304
Republic of Korea,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,178.3261,174.8512,171.2563,167.8622,163.5341,158.4897,154.9113,153.2609,152.5507,153.8202,152.6813
Republic of Korea,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,4993.1308,4895.8336,4795.1764,4700.1416,4578.9548,4437.7116,4337.5164,4291.3052,4271.4196,4306.9656,4275.0764
Romania,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,3.1651,3.2421,3.5613,3.0988,2.6418,2.555,2.31,2.0804,1.68,1.5232,0.9184
Romania,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,88.6228,90.7788,99.7164,86.7664,73.9704,71.54,64.68,58.2512,47.04,42.6496,25.7152
Russian Federation,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,53.648,52.9147,54.7546,55.6923,57.0704,51.9817,50.4496,53.3935,54.8618,52.1693,47.505
Russian Federation,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,1502.144,1481.6116,1533.1288,1559.3844,1597.9712,1455.4876,1412.5888,1495.018,1536.1304,1460.7404,1330.14
Rwanda,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,1.0291,1.2298,1.6639,2.1143,2.3401,2.2108,2.2946,2.3027,2.0709,2.2173,2.2577
Rwanda,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,28.8148,34.4344,46.5892,59.2004,65.5228,61.9024,64.2488,64.4756,57.9852,62.0844,63.2156
Saudi Arabia,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0,0,0,0,0,0.0347,0.0356,0.0644,0.0944,0.0949,0.0952
Saudi Arabia,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,0,0,0,0,0,0.9716,0.9968,1.8032,2.6432,2.6572,2.6656
Senegal,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,8.241,7.5983,9.4481,16.611,19.8451,21.4154,22.6544,24.1917,28.2609,26.6695,26.0689
Senegal,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,230.748,212.7524,264.5468,465.108,555.6628,599.6312,634.3232,677.3676,791.3052,746.746,729.9292
Sierra Leone,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,47.035,43.9916,48.5938,39.635,50.1447,51.1477,76.6203,39.4265,39.6007,61.8802,45.1137
Sierra Leone,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,1316.98,1231.7648,1360.6264,1109.78,1404.0516,1432.1356,2145.3684,1103.942,1108.8196,1732.6456,1263.1836
Solomon Islands,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.3003,0.3178,0.3373,0.3422,0.3324,0.3444,0.3397,0.3389,0.341,0.3398,0.3399
Solomon Islands,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,8.4084,8.8984,9.4444,9.5816,9.3072,9.6432,9.5116,9.4892,9.548,9.5144,9.5172
Somalia,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.154,0.1873,0.042,0.196,0.105,0.1194,0.1401,0.1215,0.127,0.1296,0.126
Somalia,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,4.312,5.2444,1.176,5.488,2.94,3.3432,3.9228,3.402,3.556,3.6288,3.528
South Africa,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.308,0.322,0.321,0.3163,0.3143,0.3117,0.3089,0.3062,0.3039,0.3013,0.2988
South Africa,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,8.624,9.016,8.988,8.8564,8.8004,8.7276,8.6492,8.5736,8.5092,8.4364,8.3664
South Sudan,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,,,,2.4219,2.2411,2.0594,2.1067,3.904,4.1499,4.3005,4.3005
South Sudan,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,0,0,0,67.8132,62.7508,57.6632,58.9876,109.312,116.1972,120.414,120.414
Spain,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,56.8608,56.448,55.6512,55.0822,55.0731,54.2324,52.925,52.0985,51.4382,42.6787,28.2442
Spain,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,1592.1024,1580.544,1558.2336,1542.3016,1542.0468,1518.5072,1481.9,1458.758,1440.2696,1195.0036,790.8376
Sri Lanka,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,113.787,126.7358,93.9851,129.1895,121.7563,84.4563,111.049,102.1563,113.7639,120.1862,118.8678
Sri Lanka,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,3186.036,3548.6024,2631.5828,3617.306,3409.1764,2364.7764,3109.372,2860.3764,3185.3892,3365.2136,3328.2984
Sudan,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,1.0584,1.0587,2.1865,1.0584,0.9996,1.6464,1.5918,1.6156,1.6398,1.3356,1.5054
Sudan,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,29.6352,29.6436,61.222,29.6352,27.9888,46.0992,44.5704,45.2368,45.9144,37.3968,42.1512
Suriname,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,14.3861,16.3167,17.4191,16.5894,17.5596,16.6051,15.7494,16.8518,16.1946,15.9211,15.6628
Suriname,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,402.8108,456.8676,487.7348,464.5032,491.6688,464.9428,440.9832,471.8504,453.4488,445.7908,438.5584
Tajikistan,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,2.8963,2.5758,2.4415,2.5868,3.0064,2.7534,2.599,2.7242,2.8354,2.8574,2.7623
Tajikistan,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,81.0964,72.1224,68.362,72.4304,84.1792,77.0952,72.772,76.2776,79.3912,80.0072,77.3444
Thailand,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,1912.3197,1868.7425,1705.7051,1554.254,1713.2344,1714.4656,1702.9891,1569.3902,1750.3634,1785.6303,1836.7423
Thailand,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,53544.9516,52324.79,47759.7428,43519.112,47970.5632,48005.0368,47683.6948,43942.9256,49010.1752,49997.6484,51428.7844
Timor-Leste,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,7.7239,5.1632,5.2524,4.2446,3.5501,4.2339,3.135,4.1176,3.4876,4.9408,5.7006
Timor-Leste,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,216.2692,144.5696,147.0672,118.8488,99.4028,118.5492,87.78,115.2928,97.6528,138.3424,159.6168
Togo,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,1.0778,1.0331,0.9396,0.9139,0.9286,0.9452,0.9722,1.0044,1.0628,1.0991,1.1195
Togo,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,30.1784,28.9268,26.3088,25.5892,26.0008,26.4656,27.2216,28.1232,29.7584,30.7748,31.346
Trinidad and Tobago,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.3049,0.3159,0.4183,0.4184,0.262,0.1789,0.068,0.081,0.0965,0.0462,0.0163
Trinidad and Tobago,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,8.5372,8.8452,11.7124,11.7152,7.336,5.0092,1.904,2.268,2.702,1.2936,0.4564
TÃ¼rkiye,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,33.5059,30.9658,31.0464,32.4397,32.4957,30.6614,33.6384,35.3973,35.1114,36.2531,33.7431
TÃ¼rkiye,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,938.1652,867.0424,869.2992,908.3116,909.8796,858.5192,941.8752,991.1244,983.1192,1015.0868,944.8068
Turkmenistan,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,15.8894,11.1777,9.1266,7.2149,4.2635,4.2489,4.2647,4.64,4.4799,4.28,4.2595
Turkmenistan,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,444.9032,312.9756,255.5448,202.0172,119.378,118.9692,119.4116,129.92,125.4372,119.84,119.266
Uganda,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,6.44,6.51,6.65,6.6694,5.8674,5.005,5.1921,4.3125,9.4915,18.2127,18.2
Uganda,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,180.32,182.28,186.2,186.7432,164.2872,140.14,145.3788,120.75,265.762,509.9556,509.6
Ukraine,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,7.224,6.776,2.856,3.276,3.36,3.556,3.528,2.94,3.136,2.828,0.196
Ukraine,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,202.272,189.728,79.968,91.728,94.08,99.568,98.784,82.32,87.808,79.184,5.488
United Republic of Tanzania,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,124.2207,144.2536,148.7517,179.4042,192.3852,170.5178,160.513,163.5658,212.898,209.9765,155.0892
United Republic of Tanzania,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,3478.1796,4039.1008,4165.0476,5023.3176,5386.7856,4774.4984,4494.364,4579.8424,5961.144,5879.342,4342.4976
United States of America,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,379.456,349.713,415.436,364.728,438.662,336.2555,412.1775,350.847,422.94,351.9775,307.6465
United States of America,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,10624.768,9791.964,11632.208,10212.384,12282.536,9415.154,11540.97,9823.716,11842.32,9855.37,8614.102
Uruguay,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,50.7839,48.3,46.872,44.996,45.1343,46.048,45.472,40.6,39.284,39.004,41.16
Uruguay,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,1421.9492,1352.4,1312.416,1259.888,1263.7604,1289.344,1273.216,1136.8,1099.952,1092.112,1152.48
Uzbekistan,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,16.7707,9.869,10.7262,15.4959,15.7801,15.6693,9.2626,14.2701,10.424,10.7444,10.1815
Uzbekistan,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,469.5796,276.332,300.3336,433.8852,441.8428,438.7404,259.3528,399.5628,291.872,300.8432,285.082
Venezuela (Bolivarian Republic of),Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,52.7922,54.1624,57.1024,42.6407,31.7734,42.5021,43.0048,37.8633,43.6834,46.0084,40.1818
Venezuela (Bolivarian Republic of),Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,1478.1816,1516.5472,1598.8672,1193.9396,889.6552,1190.0588,1204.1344,1060.1724,1223.1352,1288.2352,1125.0904
Viet Nam,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,1369.8673,1394.8418,1379.6033,1381.7444,1365.1737,1360.5516,1336.2312,1315.193,1274.7498,1274.2898,1251.2085
Viet Nam,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,38356.2844,39055.5704,38628.8924,38688.8432,38224.8636,38095.4448,37414.4736,36825.404,35692.9944,35680.1144,35033.838
Zambia,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,1.8385,2.2135,2.3245,1.2535,1.5461,2.0702,2.1208,1.7203,1.7329,3.0963,2.7707
Zambia,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,51.478,61.978,65.086,35.098,43.2908,57.9656,59.3824,48.1684,48.5212,86.6964,77.5796
Zimbabwe,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.1983,0.2072,0.2629,0.3238,0.2646,0.248,0.2371,0.177,0.0859,0.2426,0.15
Zimbabwe,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,5.5524,5.8016,7.3612,9.0664,7.4088,6.944,6.6388,4.956,2.4052,6.7928,4.2
